waveform	Ch0		Gen	
t0	10/3/2021  19:53:50.428034		10/3/2021  19:53:50.428036	
delta t	5.000000E-6		5.000000E-6	

time[0]	Ch0	time[1]	Gen
10/3/2021  19:53:50.428409	-1.001804E+0	10/3/2021  19:53:50.428411	-8.632353E-2
10/3/2021  19:53:50.428414	-1.090736E+0	10/3/2021  19:53:50.428416	-9.220876E-2
10/3/2021  19:53:50.428419	-1.178688E+0	10/3/2021  19:53:50.428421	-9.809399E-2
10/3/2021  19:53:50.428424	-1.263697E+0	10/3/2021  19:53:50.428426	-1.036523E-1
10/3/2021  19:53:50.428429	-1.349032E+0	10/3/2021  19:53:50.428431	-1.082297E-1
10/3/2021  19:53:50.428434	-1.433060E+0	10/3/2021  19:53:50.428436	-1.144419E-1
10/3/2021  19:53:50.428439	-1.514800E+0	10/3/2021  19:53:50.428441	-1.196732E-1
10/3/2021  19:53:50.428444	-1.594904E+0	10/3/2021  19:53:50.428446	-1.239236E-1
10/3/2021  19:53:50.428449	-1.673374E+0	10/3/2021  19:53:50.428451	-1.281741E-1
10/3/2021  19:53:50.428454	-1.751844E+0	10/3/2021  19:53:50.428456	-1.334054E-1
10/3/2021  19:53:50.428459	-1.827044E+0	10/3/2021  19:53:50.428461	-1.396176E-1
10/3/2021  19:53:50.428464	-1.901590E+0	10/3/2021  19:53:50.428466	-1.441950E-1
10/3/2021  19:53:50.428469	-1.973521E+0	10/3/2021  19:53:50.428471	-1.474645E-1
10/3/2021  19:53:50.428474	-2.043490E+0	10/3/2021  19:53:50.428476	-1.517150E-1
10/3/2021  19:53:50.428479	-2.110843E+0	10/3/2021  19:53:50.428481	-1.566193E-1
10/3/2021  19:53:50.428484	-2.176888E+0	10/3/2021  19:53:50.428486	-1.605428E-1
10/3/2021  19:53:50.428489	-2.240318E+0	10/3/2021  19:53:50.428491	-1.647933E-1
10/3/2021  19:53:50.428494	-2.302767E+0	10/3/2021  19:53:50.428496	-1.677359E-1
10/3/2021  19:53:50.428499	-2.360965E+0	10/3/2021  19:53:50.428501	-1.723133E-1
10/3/2021  19:53:50.428504	-2.418509E+0	10/3/2021  19:53:50.428506	-1.755829E-1
10/3/2021  19:53:50.428509	-2.472457E+0	10/3/2021  19:53:50.428511	-1.785255E-1
10/3/2021  19:53:50.428514	-2.525424E+0	10/3/2021  19:53:50.428516	-1.814681E-1
10/3/2021  19:53:50.428519	-2.575449E+0	10/3/2021  19:53:50.428521	-1.847377E-1
10/3/2021  19:53:50.428524	-2.623185E+0	10/3/2021  19:53:50.428526	-1.886611E-1
10/3/2021  19:53:50.428529	-2.666016E+0	10/3/2021  19:53:50.428531	-1.906229E-1
10/3/2021  19:53:50.428534	-2.708521E+0	10/3/2021  19:53:50.428536	-1.935655E-1
10/3/2021  19:53:50.428539	-2.747428E+0	10/3/2021  19:53:50.428541	-1.961812E-1
10/3/2021  19:53:50.428544	-2.784048E+0	10/3/2021  19:53:50.428546	-1.978159E-1
10/3/2021  19:53:50.428549	-2.817724E+0	10/3/2021  19:53:50.428551	-1.997777E-1
10/3/2021  19:53:50.428554	-2.849112E+0	10/3/2021  19:53:50.428556	-2.014125E-1
10/3/2021  19:53:50.428559	-2.877230E+0	10/3/2021  19:53:50.428561	-2.037012E-1
10/3/2021  19:53:50.428564	-2.902079E+0	10/3/2021  19:53:50.428566	-2.056629E-1
10/3/2021  19:53:50.428569	-2.924639E+0	10/3/2021  19:53:50.428571	-2.069708E-1
10/3/2021  19:53:50.428574	-2.943930E+0	10/3/2021  19:53:50.428576	-2.059899E-1
10/3/2021  19:53:50.428579	-2.960932E+0	10/3/2021  19:53:50.428581	-2.082786E-1
10/3/2021  19:53:50.428584	-2.974991E+0	10/3/2021  19:53:50.428586	-2.086055E-1
10/3/2021  19:53:50.428589	-2.986107E+0	10/3/2021  19:53:50.428591	-2.095864E-1
10/3/2021  19:53:50.428594	-2.993627E+0	10/3/2021  19:53:50.428596	-2.112212E-1
10/3/2021  19:53:50.428599	-2.997224E+0	10/3/2021  19:53:50.428601	-2.108942E-1
10/3/2021  19:53:50.428604	-3.000166E+0	10/3/2021  19:53:50.428606	-2.105673E-1
10/3/2021  19:53:50.428609	-2.998859E+0	10/3/2021  19:53:50.428611	-2.099134E-1
10/3/2021  19:53:50.428614	-2.994935E+0	10/3/2021  19:53:50.428616	-2.089325E-1
10/3/2021  19:53:50.428619	-2.988396E+0	10/3/2021  19:53:50.428621	-2.099134E-1
10/3/2021  19:53:50.428624	-2.978587E+0	10/3/2021  19:53:50.428626	-2.089325E-1
10/3/2021  19:53:50.428629	-2.965836E+0	10/3/2021  19:53:50.428631	-2.082786E-1
10/3/2021  19:53:50.428634	-2.949488E+0	10/3/2021  19:53:50.428636	-2.072977E-1
10/3/2021  19:53:50.428639	-2.931178E+0	10/3/2021  19:53:50.428641	-2.059899E-1
